Rank,Name,Platform,Year,Genre,Publisher,Developer,Global_Sales
3265,TimeSplitters 2,XB,2002,Shooter,Eidos Interactive,,0.64
3266,Konami Collector's Series: Arcade Advanced,GBA,2002,Misc,Konami Digital Entertainment,,0.64
3267,Madden NFL 2001,N64,2000,Sports,Electronic Arts,,0.64
3268,Tom Clancy's Rainbow Six,N64,1999,Shooter,Red Storm Entertainment,,0.64
3269,Castlevania,N64,1999,Platform,Konami Digital Entertainment,,0.64
3270,Rayman 2: The Great Escape,N64,1999,Platform,Ubisoft,,0.64
3271,Cruis'n World,N64,1998,Racing,Nintendo,,0.64
3272,LEGO The Incredibles,NS,2018,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,0.63
3273,Dragon Quest Monsters Joker 3,3DS,2016,Role-Playing,Square Enix,,0.63
3274,God of War III,PS4,2015,Action,Sony Computer Entertainment,,0.63
3275,LEGO Jurassic World,XOne,2015,Action,Warner Bros. Interactive Entertainment,,0.63
3276,Just Dance 2015,X360,2014,Misc,Ubisoft,,0.63
3277,The Crew,XOne,2014,Racing,Ubisoft,,0.63
3278,F1 2013,PS3,2013,Racing,Codemasters,,0.63
3279,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,2012,Misc,Namco Bandai Games,,0.63
3280,Angry Birds Trilogy,3DS,2012,Action,Activision,,0.63
3281,Sonic & All-Stars Racing Transformed,X360,2012,Racing,Sega,,0.63
3282,Disney Universe,PS3,2011,Action,Disney Interactive Studios,,0.63
3283,Just Dance 3,PS3,2011,Misc,Ubisoft,,0.63
3284,The Sims 3: Generations,PC,2011,Simulation,Electronic Arts,,0.63
3285,Tiger Woods PGA Tour 12: The Masters,X360,2011,Sports,Electronic Arts,,0.63
3286,Red Steel 2,Wii,2010,Shooter,Ubisoft,,0.63
3287,DJ Hero 2,Wii,2010,Misc,Activision,,0.63
3288,Call of Duty: Black Ops,DS,2010,Shooter,Activision,,0.63
3289,SingStar Queen,PS2,2009,Misc,Sony Computer Entertainment,,0.63
3290,Ghostbusters: The Video Game,X360,2009,Action,Atari,,0.63
3291,Guitar Hero: Metallica,PS3,2009,Misc,Activision,,0.63
3292,Harry Potter and the Half-Blood Prince,DS,2009,Action,Electronic Arts,,0.63
3293,Metroid Prime: Trilogy,Wii,2009,Shooter,Nintendo,,0.63
3294,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",X360,2009,Shooter,Activision,,0.63
3295,Battle of Giants: Dragons,DS,2009,Strategy,Ubisoft,,0.63
3296,Shin Megami Tensei: Persona 3 Portable,PSP,2009,Role-Playing,Ghostlight,,0.63
3297,World of Zoo,Wii,2009,Simulation,THQ,,0.63
3298,Wet,PS3,2009,Shooter,Bethesda Softworks,,0.63
3299,MySims Racing,DS,2009,Racing,Electronic Arts,,0.63
3300,Iron Man,PSP,2008,Action,Sega,,0.63
3301,Condemned 2: Bloodshot,X360,2008,Action,Sega,,0.63
3302,Juiced 2: Hot Import Nights,X360,2007,Racing,THQ,,0.63
3303,Cabela's Big Game Hunter (2008),Wii,2007,Sports,Activision,,0.63
3304,Shin Megami Tensei: Persona 3 FES,PS2,2007,Role-Playing,Tecmo Koei,,0.63
3305,Tony Hawk's Project 8,PS3,2006,Sports,Activision,,0.63
3306,Okami,PS2,2006,Action,Capcom,,0.63
3307,X-Men Legends II: Rise of Apocalypse,PS2,2005,Role-Playing,Activision,,0.63
3308,NASCAR 06: Total Team Control,PS2,2005,Racing,Electronic Arts,,0.63
3309,Dogz,GBA,2004,Simulation,Ubisoft,,0.63
3310,Mobile Suit Z Gundam: AEUG vs. Titans,PS2,2003,Fighting,Namco Bandai Games,,0.63
3311,FIFA Soccer 2003,XB,2002,Sports,Electronic Arts,,0.63
3312,Ape Escape 2,PS2,2002,Platform,Sony Computer Entertainment,,0.63
3313,Namco Museum,GC,2002,Misc,Namco Bandai Games,,0.63
3314,Tony Hawk's Pro Skater 2x,XB,2001,Sports,Activision,,0.63
3315,FIFA Soccer 2002,PS2,2001,Sports,Electronic Arts,,0.63
3316,NHL 2001,PS,2000,Sports,Electronic Arts,,0.63
3317,Buzz Lightyear of Star Command,PS,2000,Platform,Activision,,0.63
3318,Sim Theme Park,PS,1999,Strategy,Electronic Arts,,0.63
3319,A Bug's Life,N64,1998,Platform,Activision,,0.63
3320,Nightmare Creatures,PS,1997,Action,Sony Computer Entertainment,,0.63
3321,Final Fantasy VII International,PS,1997,Role-Playing,Square,,0.63
3322,Super Castlevania IV,SNES,1991,Platform,Konami Digital Entertainment,,0.63
3323,X-Man,2600,1982,Action,Universal Gamex,,0.63
3324,South Park: The Fractured But Whole,XOne,2017,Role-Playing,Ubisoft,Ubisoft San Francisco,0.62
3325,F1 2017,PS4,2017,Racing,Deep Silver,Codemasters,0.62
3326,Evolve,XOne,2015,Shooter,Take-Two Interactive,,0.62
3327,Far Cry 4,PC,2014,Shooter,Ubisoft,,0.62
3328,Pro Evolution Soccer 2015,PS3,2014,Sports,Konami Digital Entertainment,,0.62
3329,Metal Gear Solid V: Ground Zeroes,PS3,2014,Action,Konami Digital Entertainment,,0.62
3330,Rocksmith 2014,PS4,2014,Misc,Ubisoft,,0.62
3331,Dead Island: Riptide,PS3,2013,Action,Deep Silver,,0.62
3332,FIFA Soccer,PSV,2012,Sports,Electronic Arts,,0.62
3333,Toshochu: Run for Money,3DS,2012,Adventure,Namco Bandai Games,,0.62
3334,LEGO Pirates of the Caribbean: The Video Game,3DS,2011,Action,Disney Interactive Studios,,0.62
3335,Warriors Orochi 3,PS3,2011,Action,Ubisoft Annecy,,0.62
3336,Dragon Ball Z: Ultimate Tenkaichi,PS3,2011,Fighting,Namco Bandai Games,,0.62
3337,Dragon Quest Monsters: Joker 2 Professional,DS,2011,Role-Playing,Square Enix,,0.62
3338,Prince of Persia: The Forgotten Sands,X360,2010,Action,Ubisoft,,0.62
3339,Vanquish,PS3,2010,Shooter,Sega,,0.62
3340,Wipeout: The Game,DS,2010,Misc,Activision,,0.62
3341,Sacred 2: Fallen Angel,PS3,2009,Role-Playing,Deep Silver,,0.62
3342,WWE SmackDown vs. Raw 2010,PSP,2009,Fighting,THQ,,0.62
3343,Bolt,DS,2008,Adventure,Disney Interactive Studios,,0.62
3344,Wall-E,X360,2008,Platform,THQ,,0.62
3345,SpongeBob's Atlantis SquarePantis,Wii,2007,Action,THQ,,0.62
3346,Madden NFL 07,GC,2006,Sports,Electronic Arts,,0.62
3347,Tony Hawk's American Wasteland,XB,2005,Sports,Activision,,0.62
3348,Tak 2: The Staff of Dreams,PS2,2004,Platform,THQ,,0.62
3349,The Urbz: Sims in the City,GBA,2004,Simulation,Electronic Arts,,0.62
3350,Strike Force Bowling,PS2,2004,Sports,Play It,,0.62
3351,XGRA: Extreme G-Racing Association,PS2,2004,Racing,Eidos Interactive,,0.62
3352,Tiger Woods PGA Tour 2004,XB,2003,Sports,Electronic Arts,,0.62
3353,Viewtiful Joe,GC,2003,Action,Capcom,,0.62
3354,Pac-Man Player's Choice Bundle,GC,2003,Misc,Namco Bandai Games,,0.62
3355,Wild ARMs 3,PS2,2002,Role-Playing,Ubisoft,,0.62
3356,Super Robot Taisen α Gaiden,PS,2001,Strategy,Banpresto,,0.62
3357,Disney's 102 Dalmatians: Puppies to the Rescue,PS,2000,Platform,Eidos Interactive,,0.62
3358,Beetle Adventure Racing!,N64,1999,Racing,Electronic Arts,,0.62
3359,Bass Landing,PS,1999,Sports,ASCII Entertainment,,0.62
3360,Tomb Raider III: Adventures of Lara Croft,PC,1998,Action,Eidos Interactive,,0.62
3361,NFL Quarterback Club 99,N64,1998,Sports,Acclaim Entertainment,,0.62
3362,NBA ShootOut '97,PS,1997,Sports,Sony Computer Entertainment,,0.62
3363,WWF in Your House,PS,1996,Fighting,Acclaim Entertainment,,0.62
3364,Fighters MEGAMiX,SAT,1996,Fighting,Sega,,0.62
3365,Bahamut Lagoon,SNES,1996,Role-Playing,SquareSoft,,0.62
3366,Virtua Cop,SAT,1995,Shooter,Sega,,0.62
3367,Mario's Picross,GB,1995,Puzzle,Nintendo,,0.62
3368,Nobunaga no Yabou: Haouden,SNES,1993,Strategy,Tecmo Koei,,0.62
3369,Battlezone,2600,1982,Shooter,Atari,,0.62
3370,Halloween,2600,1982,Action,Wizard Video Games,,0.62
3371,Knowledge is Power,PS4,2017,Party,Sony Interactive Entertainment,Wish Studio,0.61
3372,NHL 16,PS4,2015,Sports,Electronic Arts,,0.61
3373,Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,,0.61
3374,Dynasty Warriors 8,PS3,2013,Action,Tecmo Koei,,0.61
3375,Just Dance 2014,WiiU,2013,Misc,Ubisoft,,0.61
3376,Cooking Mama 4: Kitchen Magic!,3DS,2011,Simulation,505 Games,,0.61
3377,Yakuza: Dead Souls,PS3,2011,Shooter,Sega,,0.61
3378,Disney Sing It: Family Hits,Wii,2010,Misc,Disney Interactive Studios,,0.61
3379,New Carnival Games,Wii,2010,Misc,Take-Two Interactive,,0.61
3380,Cabela's Monster Buck Hunter,Wii,2010,Sports,Activision,,0.61
3381,pro evolution soccer 2011,X360,2010,Sports,Konami Digital Entertainment,,0.61
3382,Pac-Man Party,Wii,2010,Misc,Namco Bandai Games,,0.61
3383,Split/Second,X360,2010,Racing,Disney Interactive Studios,,0.61
3384,Fighters Uncaged,X360,2010,Fighting,Ubisoft,,0.61
3385,Muramasa: The Demon Blade,Wii,2009,Role-Playing,Rising Star Games,,0.61
3386,Tony Hawk: RIDE,X360,2009,Sports,Activision,,0.61
3387,Jak and Daxter: The Lost Frontier,PSP,2009,Platform,Sony Computer Entertainment,,0.61
3388,Major League Baseball 2K9,X360,2009,Sports,Spike,,0.61
3389,Guitar Hero: Smash Hits,Wii,2009,Misc,Activision,,0.61
3390,Call of Juarez: Bound in Blood,X360,2009,Shooter,Ubisoft,,0.61
3391,NBA 2K9,PS3,2008,Sports,Take-Two Interactive,,0.61
3392,SingStar Singalong With Disney,PS2,2008,Misc,Sony Computer Entertainment,,0.61
3393,New Play Control! Donkey Kong Jungle Beat,Wii,2008,Platform,Nintendo,,0.61
3394,Littlest Pet Shop: Garden,DS,2008,Simulation,Electronic Arts,,0.61
3395,Major League Baseball 2K8,X360,2008,Sports,Bethesda Softworks,,0.61
3396,Petz: Dogz Pack,DS,2008,Simulation,Ubisoft,,0.61
3397,Disney TH!NK Fast: The Ultimate Trivia Showdown,Wii,2008,Misc,Disney Interactive Studios,,0.61
3398,Littlest Pet Shop: Jungle,DS,2008,Simulation,Electronic Arts,,0.61
3399,Ganbaru Watashi no Kakei Diary,DS,2007,Misc,Nintendo,,0.61
3400,SimCity DS,DS,2007,Simulation,Electronic Arts,,0.61
3401,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",X360,2007,Action,Activision,,0.61
3402,Formula 1: Championship Edition,PS3,2006,Racing,Sony Computer Entertainment,,0.61
3403,Samurai Warriors 2,PS2,2006,Action,Tecmo Koei,,0.61
3404,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005,Misc,THQ,,0.61
3405,Half-Life 2,XB,2005,Shooter,Electronic Arts,,0.61
3406,Final Fantasy IV Advance,GBA,2005,Role-Playing,Nintendo,,0.61
3407,Harry Potter and the Goblet of Fire,GBA,2005,Action,Electronic Arts,,0.61
3408,Dora the Explorer: Super Spies,GBA,2004,Platform,Gotham Games,,0.61
3409,Texas Hold 'Em Poker,GBA,2004,Misc,Majesco Entertainment,,0.61
3410,Dragon Ball Z: Buu's Fury,GBA,2004,Action,Atari,,0.61
3411,Time Crisis 3,PS2,2003,Shooter,Namco Bandai Games,,0.61
3412,Naruto: Ultimate Ninja,PS2,2003,Fighting,Atari,,0.61
3413,NFL Fever 2003,XB,2002,Sports,Microsoft Game Studios,,0.61
3414,Robotech: Battlecry,PS2,2002,Shooter,TDK Mediactive,,0.61
3415,Madden NFL 2003,GBA,2002,Sports,Electronic Arts,,0.61
3416,Game & Watch Gallery 4,GBA,2002,Misc,Nintendo,,0.61
3417,Madden NFL 2002,GC,2001,Sports,Electronic Arts,,0.61
3418,Spider-Man: Mysterio's Menace,GBA,2001,Action,Activision,,0.61
3419,Tomb Raider Chronicles,PS,1999,Action,Eidos Interactive,,0.61
3420,Madden NFL 2000,N64,1999,Sports,Electronic Arts,,0.61
3421,Small Soldiers,PS,1998,Platform,Electronic Arts,,0.61
3422,Duke Nukem: Total Meltdown,PS,1997,Shooter,GT Interactive,,0.61
3423,L.A. Noire,PS4,2017,Adventure,Rockstar Games,Team Bondi,0.6
3424,LEGO Jurassic World,3DS,2015,Action,Warner Bros. Interactive Entertainment,,0.6
3425,LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,,0.6
3426,Tomb Raider (2013),XOne,2014,Action,Square Enix,,0.6
3427,Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Action,Disney Interactive Studios,,0.6
3428,Disney Infinity,WiiU,2013,Action,Disney Interactive Studios,,0.6
3429,Skylanders SWAP Force,WiiU,2013,Platform,Activision,,0.6
3430,XCOM: Enemy Unknown,PS3,2012,Strategy,Take-Two Interactive,,0.6
3431,Scribblenauts: Unlimited,3DS,2012,Action,Warner Bros. Interactive Entertainment,,0.6
3432,Kinect Rush: A Disney Pixar Adventure,X360,2012,Adventure,Microsoft Game Studios,,0.6
3433,Hot Shots Golf: World Invitational,PSV,2011,Sports,Sony Computer Entertainment,,0.6
3434,Phineas and Ferb: Across the 2nd Dimension,Wii,2011,Action,Disney Interactive Studios,,0.6
3435,Alice: Madness Returns,PS3,2011,Adventure,Electronic Arts,,0.6
3436,MonHun Nikki: Poka Poka Ailu Mura,PSP,2010,Role-Playing,Capcom,,0.6
3437,Blur,X360,2010,Racing,Activision,,0.6
3438,NHL 11,PS3,2010,Sports,Electronic Arts,,0.6
3439,The Fight: Lights Out,PS3,2010,Fighting,Sony Computer Entertainment,,0.6
3440,New Play Control! Pikmin 2,Wii,2009,Strategy,Nintendo,,0.6
3441,WarioWare D.I.Y.,DS,2009,Misc,Nintendo,,0.6
3442,Tony Hawk: RIDE,PS3,2009,Sports,Activision,,0.6
3443,Secret Agent Clank,PS2,2009,Platform,Sony Computer Entertainment,,0.6
3444,Avatar: The Game,PSP,2009,Action,Ubisoft,,0.6
3445,Disney Sing It! High School Musical 3: Senior Year,Wii,2008,Misc,Disney Interactive Studios,,0.6
3446,Monopoly,X360,2008,Misc,Electronic Arts,,0.6
3447,The Golden Compass,DS,2007,Action,Sega,,0.6
3448,NBA 2K8,PS2,2007,Sports,Take-Two Interactive,,0.6
3449,Major League Baseball 2K7,PS2,2007,Sports,Spike,,0.6
3450,Jaws Unleashed,PS2,2006,Action,THQ,,0.6
3451,Shadow The Hedgehog,PS2,2005,Platform,Sega,,0.6
3452,Fight Night Round 2,XB,2005,Fighting,Electronic Arts,,0.6
3453,PGR3 - Project Gotham Racing 3,X360,2005,Racing,Microsoft Game Studios,,0.6
3454,Pokemon Trozei!,DS,2005,Puzzle,Nintendo,,0.6
3455,Monster Trucks,GBA,2004,Racing,Majesco Entertainment,,0.6
3456,Asphalt: Urban GT,DS,2004,Racing,Ubisoft,,0.6
3457,Tony Hawk's Underground,GBA,2003,Sports,Activision,,0.6
3458,Backyard Wrestling: Don't Try This at Home,PS2,2003,Fighting,Eidos Interactive,,0.6
3459,Dai-2-Ji Super Robot Taisen α,PS2,2003,Strategy,Banpresto,,0.6
3460,From TV Animation One Piece: Grand Battle 2,PS,2002,Fighting,Namco Bandai Games,,0.6
3461,Wave Race: Blue Storm,GC,2001,Racing,Nintendo,,0.6
3462,Rayman Arena,PS2,2001,Racing,Ubisoft,,0.6
3463,Half-Life,PS2,2001,Shooter,Vivendi Games,,0.6
3464,NASCAR Heat 2002,PS2,2001,Racing,Infogrames,,0.6
3465,Mickey's Speedway USA,N64,2000,Racing,Nintendo,,0.6
3466,BeatMania Append 3rdMix,PS,1998,Simulation,Konami Digital Entertainment,,0.6
3467,Xena: Warrior Princess,PS,1998,Adventure,Electronic Arts,,0.6
3468,Puyo Puyo Sun,SAT,1997,Puzzle,Compile,,0.6
3469,International Superstar Soccer 64,N64,1997,Sports,Konami Digital Entertainment,,0.6
3470,Suikoden,PS,1995,Role-Playing,Konami Digital Entertainment,,0.6
3471,Front Mission,SNES,1995,Strategy,SquareSoft,,0.6
3472,Hidden Agenda,PS4,2017,Adventure,Sony Interactive Entertainment,Supermassive Games Ltd.,0.59
3473,Tales of Zestiria,PS3,2015,Role-Playing,Namco Bandai Games,,0.59
3474,Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,,0.59
3475,Payday 2,X360,2013,Shooter,505 Games,,0.59
3476,Rayman Origins,PSV,2012,Platform,Ubisoft,,0.59
3477,London 2012: The Official Video Game of the Olympic Games,X360,2012,Sports,Sega,,0.59
3478,Yakuza 5,PS3,2012,Action,Sega,,0.59
3479,SoulCalibur V,X360,2012,Fighting,Namco Bandai Games,,0.59
3480,Doom 3 BFG Edition,PS3,2012,Shooter,Bethesda Softworks,,0.59
3481,Assassin's Creed: Brotherhood,PC,2011,Action,Ubisoft,,0.59
3482,Total War: Shogun 2,PC,2011,Strategy,Sega,,0.59
3483,NHL 12,PS3,2011,Sports,Electronic Arts,,0.59
3484,Deus Ex: Human Revolution,PC,2011,Shooter,Square Enix,,0.59
3485,Jeopardy!,Wii,2010,Misc,THQ,,0.59
3486,Kane & Lynch 2: Dog Days,PS3,2010,Shooter,Square Enix,,0.59
3487,Silent Hill: Shattered Memories,PS2,2010,Action,Konami Digital Entertainment,,0.59
3488,Game Party in Motion,X360,2010,Misc,Warner Bros. Interactive Entertainment,,0.59
3489,Zumba Fitness,PS3,2010,Sports,505 Games,,0.59
3490,Final Fantasy: The 4 Heroes of Light,DS,2009,Role-Playing,Square Enix,,0.59
3491,LEGO Indiana Jones 2: The Adventure Continues,PSP,2009,Action,Activision,,0.59
3492,FIFA Soccer 10,DS,2009,Sports,Electronic Arts,,0.59
3493,Dead Space,PC,2008,Action,Electronic Arts,,0.59
3494,Beijing 2008,X360,2008,Sports,Sega,,0.59
3495,Iron Man,Wii,2008,Action,Sega,,0.59
3496,Rock Band 2,PS2,2008,Misc,MTV Games,,0.59
3497,Naruto: The Broken Bond,X360,2008,Action,Ubisoft,,0.59
3498,Go Diego Go! Great Dinosaur Rescue,Wii,2008,Action,Take-Two Interactive,,0.59
3499,Skate it,Wii,2008,Sports,Electronic Arts,,0.59
3500,Lost: Via Domus,X360,2008,Action,Ubisoft,,0.59
3501,Ben 10: Alien Force,PSP,2008,Action,Koch Media,,0.59
3502,Spelling Challenges and more!,DS,2007,Misc,505 Games,,0.59
3503,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,2007,Action,Activision,,0.59
3504,Final Fantasy Anniversary Edition,PSP,2007,Role-Playing,Square Enix,,0.59
3505,Madden NFL 06,X360,2005,Sports,Electronic Arts,,0.59
3506,Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,PS2,2005,Strategy,Banpresto,,0.59
3507,Hot Wheels: Stunt Track Challenge,PS2,2004,Racing,THQ,,0.59
3508,MVP Baseball 2004,XB,2004,Sports,Electronic Arts,,0.59
3509,Tales of Rebirth,PS2,2004,Role-Playing,Namco Bandai Games,,0.59
3510,Mega Man Anniversary Collection,PS2,2004,Platform,Capcom,,0.59
3511,Dead or Alive Xtreme Beach Volleyball,XB,2003,Sports,Microsoft Game Studios,,0.59
3512,Harvest Moon: Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,,0.59
3513,Backyard NBA Basketball,PS2,2003,Sports,Atari,,0.59
3514,Medal of Honor: Frontline,GC,2002,Shooter,Electronic Arts,,0.59
3515,2002 FIFA World Cup,PS2,2002,Sports,Electronic Arts,,0.59
3516,Crash Bandicoot: The Wrath of Cortex,GC,2002,Platform,Universal Interactive,,0.59
3517,Jampack Fall 2001,PS,2001,Misc,Sony Computer Entertainment,,0.59
3518,NFL Blitz 2001,PS,2000,Sports,Midway Games,,0.59
3519,Ready 2 Rumble Boxing,N64,1999,Sports,Midway Games,,0.59
3520,Barbie: Race & Ride,PS,1999,Action,Sony Computer Entertainment,,0.59
3521,CyberTiger,PS,1998,Sports,Electronic Arts,,0.59
3522,Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998,Sports,Konami Digital Entertainment,,0.59
3523,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,1997,Sports,Konami Digital Entertainment,,0.59
3524,Extreme-G,N64,1997,Racing,Acclaim Entertainment,,0.59
3525,Kirby's Dream Course,SNES,1994,Sports,Nintendo,,0.59
3526,BurgerTime,2600,1981,Puzzle,Mattel Interactive,,0.59
3527,Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,,0.59
3528,Farming Simulator 19,PC,2018,Simulation,Focus Home Interactive,Giants Software,0.58
3529,Call of Duty: Modern Warfare Remastered,PS4,2017,Shooter,Activision,Infinity Ward,0.58
3530,LEGO Worlds,NS,2017,Misc,Warner Bros. Interactive Entertainment,Traveller's Tales,0.58
3531,Tekken 7,XOne,2017,Fighting,Namco Bandai Games,Namco Bandai Games,0.58
3532,Just Dance 2016,WiiU,2015,Misc,Ubisoft,,0.58
3533,WWE 2K16,XOne,2015,Sports,Take-Two Interactive,,0.58
3534,WWE 2K16,PS3,2015,Sports,Take-Two Interactive,,0.58
3535,NHL 15,PS4,2014,Sports,Electronic Arts,,0.58
3536,Kinect Sports Rivals,XOne,2014,Sports,Microsoft Game Studios,,0.58
3537,Titanfall,PC,2014,Shooter,Electronic Arts,,0.58
3538,Frozen: Olaf's Quest,3DS,2013,Platform,Disney Interactive Studios,,0.58
3539,JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,Namco Bandai Games,,0.58
3540,Rayman Origins,Wii,2011,Platform,Ubisoft,,0.58
3541,Disgaea 4: A Promise Unforgotten,PS3,2011,Role-Playing,Nippon Ichi Software,,0.58
3542,MLB 11: The Show,PS3,2011,Sports,Sony Computer Entertainment,,0.58
3543,Cabela's Dangerous Hunts 2011,Wii,2010,Sports,Activision,,0.58
3544,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",X360,2010,Shooter,Activision,,0.58
3545,Harvest Moon: The Tale of Two Towns,DS,2010,Simulation,Natsume,,0.58
3546,Rock Band 3,PS3,2010,Misc,MTV Games,,0.58
3547,Rooms: The Main Building,DS,2010,Adventure,Nintendo,,0.58
3548,Tetris Party Deluxe,Wii,2010,Puzzle,Nintendo,,0.58
3549,The Conduit,Wii,2009,Shooter,Sega,,0.58
3550,Trivial Pursuit,Wii,2009,Misc,Electronic Arts,,0.58
3551,The Sims 3: World Adventures,PC,2009,Simulation,Electronic Arts,,0.58
3552,Tom Clancy's HAWX,X360,2009,Action,Ubisoft,,0.58
3553,Petz Nursery,DS,2009,Simulation,Ubisoft,,0.58
3554,BlazBlue: Calamity Trigger,PS3,2009,Fighting,PQube,,0.58
3555,NHL 10,PS3,2009,Sports,Electronic Arts,,0.58
3556,Rapala: We Fish,Wii,2009,Sports,Activision,,0.58
3557,NCAA Football 10,PS2,2009,Sports,Electronic Arts,,0.58
3558,Top Spin 3,Wii,2008,Action,Take-Two Interactive,,0.58
3559,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,PS2,2008,Action,THQ,,0.58
3560,Harvest Moon: Sunshine Islands,DS,2008,Simulation,Rising Star Games,,0.58
3561,The Legend of Spyro: Dawn of the Dragon,Wii,2008,Platform,Vivendi Games,,0.58
3562,NCAA Football 09,PS3,2008,Sports,Electronic Arts,,0.58
3563,Ratchet & Clank: Quest for Booty,PS3,2008,Platform,Sony Computer Entertainment,,0.58
3564,Petz Dogz 2,Wii,2007,Simulation,Ubisoft,,0.58
3565,Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007,Action,Capcom,,0.58
3566,NBA 2K7,X360,2006,Sports,Take-Two Interactive,,0.58
3567,Phoenix Wright: Ace Attorney - Justice for All,DS,2006,Adventure,Capcom,,0.58
3568,Naruto: Uzumaki Chronicles 2,PS2,2006,Action,Namco Bandai Games,,0.58
3569,Romancing SaGa,PS2,2005,Role-Playing,Square Enix,,0.58
3570,Prince of Persia: The Two Thrones,XB,2005,Action,Ubisoft,,0.58
3571,NHL 06,PS2,2005,Sports,Electronic Arts,,0.58
3572,The Lord of the Rings: The Third Age,PS2,2004,Role-Playing,Electronic Arts,,0.58
3573,Xenosaga Episode II: Jenseits von Gut und Böse,PS2,2004,Role-Playing,Sony Computer Entertainment,,0.58
3574,Shrek 2: Beg for Mercy,GBA,2004,Adventure,Activision,,0.58
3575,Mega Man X7,PS2,2003,Action,Capcom,,0.58
3576,Terminator 3: Rise of the Machines,PS2,2003,Action,Atari,,0.58
3577,Contra: Shattered Soldier,PS2,2002,Shooter,Konami Digital Entertainment,,0.58
3578,Tony Hawk's Pro Skater 4,GC,2002,Sports,Activision,,0.58
3579,Madden NFL 2002,XB,2001,Sports,Unknown,,0.58
3580,Sammy Sosa High Heat Baseball 2001,PS,2000,Sports,3DO,,0.58
3581,Unreal Tournament,PS2,2000,Shooter,Infogrames,,0.58
3582,Digimon World 2,PS,2000,Role-Playing,Namco Bandai Games,,0.58
3583,Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,Activision,,0.58
3584,Parasite Eve II,PS,1999,Role-Playing,SquareSoft,,0.58
3585,NFL Blitz 2000,N64,1999,Sports,Midway Games,,0.58
3586,World Cup 98,N64,1998,Sports,Electronic Arts,,0.58
3587,International Superstar Soccer '98,N64,1998,Sports,Konami Digital Entertainment,,0.58
3588,Tales of Phantasia,PS,1998,Role-Playing,Namco Bandai Games,,0.58
3589,Gex: Enter the Gecko,PS,1998,Platform,BMG Interactive Entertainment,,0.58
3590,Championship Motocross featuring Ricky Carmichael,PS,1998,Racing,THQ,,0.58
3591,Diablo,PS,1997,Role-Playing,Electronic Arts,,0.58
3592,FIFA: Road to  World Cup 98,N64,1997,Sports,Electronic Arts,,0.58
3593,Fire Emblem: Seisen no Keifu,SNES,1996,Strategy,Nintendo,,0.58
3594,Tokimeki Memorial: Forever with You,PS,1995,Simulation,Konami Digital Entertainment,,0.58
3595,Dragon Ball Z: Chou Saiya Densetsu,SNES,1992,Role-Playing,Namco Bandai Games,,0.58
3596,Q*bert,2600,1982,Puzzle,Parker Bros.,,0.58
3597,Bayonetta 2,NS,2018,Action,Nintendo,PlatinumGames,0.57
3598,Starlink: Battle for Atlas,NS,2018,Action-Adventure,Ubisoft,Ubisoft Toronto,0.57
3599,The Lego Ninjago Movie Videogame,PS4,2017,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,0.57
3600,LEGO Marvel Super Heroes 2,XOne,2017,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,0.57
3601,Ultra Street Fighter II: The Final Challengers,NS,2017,Fighting,Capcom,Capcom,0.57
3602,NHL 18,PS4,2017,Sports,EA Sports,EA Canada,0.57
3603,Shin Megami Tensei IV,3DS,2013,Role-Playing,Atlus,,0.57
3604,Defiance,X360,2013,Shooter,Trion Worlds,,0.57
3605,NHL 14,PS3,2013,Sports,Electronic Arts,,0.57
3606,Spec Ops: The Line,PS3,2012,Shooter,Take-Two Interactive,,0.57
3607,Disney Universe,X360,2011,Action,Disney Interactive Studios,,0.57
3608,"Warhammer 40,000: Space Marine",X360,2011,Shooter,THQ,,0.57
3609,Pro Evolution Soccer 2012,PSP,2011,Action,Konami Digital Entertainment,,0.57
3610,Skylanders: Spyro's Adventure,3DS,2011,Action,Activision,,0.57
3611,Enslaved: Odyssey to the West,PS3,2010,Action,Namco Bandai Games,,0.57
3612,Assassin's Creed II,PC,2010,Action,Ubisoft,,0.57
